id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
32802904,Cozy City flat by all transportation lines,207000645,Tee,Manhattan,East Village,40.72489,-73.98925,Private room,155,2,7,2022-12-11,0.15,1,363,3,
51561670,433 West 53-Studio in Midtown West,51501835,Jeniffer,Manhattan,Hell's Kitchen,40.76732,-73.98788,Entire home/apt,115,30,5,2023-01-22,0.28,131,242,1,
9906415,"Spacious, modern 1BR by Times Sq",50939666,Selin,Manhattan,Hell's Kitchen,40.76142,-73.9936,Entire home/apt,245,30,1,2016-06-26,0.01,1,0,0,
52168779,Sonder Duane Street | King Room,219517861,Sonder (NYC),Manhattan,Tribeca,40.71552,-74.00835,Private room,229,2,15,2023-02-15,1.16,76,361,14,
31224224,"Cozy private room with apartment to share.


Preferable for Thursdays-Mondays. Or 31 days",162933359,Marie,Manhattan,Harlem,40.82283,-73.93812,Private room,85,1,46,2023-01-02,0.92,1,74,4,
53009051,Private room with Shared bath on Union Square 1,408979935,Koichi,Manhattan,Gramercy,40.73535,-73.98807,Private room,76,3,64,2023-03-04,3.9,22,28,47,
722413827056649186,New York Style Studio apt,181490923,Kristina,Manhattan,Flatiron District,40.74273,-73.98699,Private room,144,2,11,2023-02-20,2.24,53,360,11,
49270929,Large Sunny 1 Bedroom Apartment in Midtown,55972382,Prasanna,Manhattan,Murray Hill,40.74655,-73.9731,Entire home/apt,150,3,3,2022-02-06,0.14,1,0,0,
25234732,"Gorgeous, charming upper east side one bedroom",1497427,Mara,Manhattan,Upper East Side,40.77403,-73.95058,Entire home/apt,130,30,17,2020-02-07,0.3,2,340,0,
46123392,Cozy room with private bathroom,200266510,Simone,Manhattan,Hell's Kitchen,40.76237,-73.99845,Private room,70,30,0,,,1,0,0,
34059931,1 BR Large Luxury Furnished Ap. Near Central Park,15145088,Izi,Manhattan,Upper West Side,40.78695,-73.97413,Entire home/apt,210,30,7,2023-02-19,0.16,8,365,2,
48295887,"Walker Hotel Tribeca, Walker Full",305738569,Walker Hotel Tribeca,Manhattan,Tribeca,40.71864,-74.00309,Private room,225,1,186,2023-01-16,7.56,4,294,21,
775280,New-York Family Friendly 2bdr/2bath with garden,4089511,Marie,Manhattan,Harlem,40.81226,-73.94527,Entire home/apt,310,30,117,2021-09-13,0.96,2,180,0,
10755419,"Hip, renovated 1-bedroom",55617221,Chad,Manhattan,Civic Center,40.71415,-74.00023,Entire home/apt,100,30,0,,,1,0,0,
9517131,Cleanly Kept Manhattan Bedroom FiDi,42807409,Sami,Manhattan,Financial District,40.71002,-74.00723,Private room,98,30,0,,,1,0,0,
38558695,convenient location.private room4. near subway,112452087,Hannah,Manhattan,East Harlem,40.79811,-73.93942,Private room,125,30,32,2020-10-11,0.76,2,0,0,
49771515,"4bdr Apartment, Hudson Yards, 53E",381698920,Hudson,Manhattan,Hell's Kitchen,40.756,-73.9964,Entire home/apt,679,2,39,2022-12-28,1.79,19,180,22,
649905929833715362,The Blakely by LuxUrban 2 Full Beds Standard Room,464389822,The Blakely,Manhattan,Midtown,40.76322,-73.97885,Private room,229,1,0,,,6,216,0,
45697861,407 West 51-Furnished 1 bedroom Apt.,51501835,Jeniffer,Manhattan,Hell's Kitchen,40.76344,-73.98946,Entire home/apt,100,30,9,2023-01-19,0.39,131,206,5,
42733887,"Luxury TimesSquare 2rooms,W.Balcony In 3bdroom Apt",206451695,Vanessa,Manhattan,Hell's Kitchen,40.75908,-73.99749,Private room,420,30,0,,,6,0,0,
51956352,Lovely room to stay in Roosevelt Island,40534407,Leandro,Manhattan,Roosevelt Island,40.76226,-73.95077,Private room,99,5,4,2022-12-26,1.12,1,95,4,
686188355262073294,Lovely rental unit with a great view on downtown.,35103398,Minel,Manhattan,Financial District,40.70859,-74.007,Entire home/apt,145,30,0,,,1,239,0,
166006,Nice Manhattan Apt Near Central Park and Subway,791287,Giancarlo,Manhattan,Upper West Side,40.79864,-73.96209,Entire home/apt,250,31,193,2023-01-03,1.37,1,0,3,
46788335,Beautiful Eastside Studio,120762452,Stanley,Manhattan,Murray Hill,40.74997,-73.97719,Entire home/apt,100,30,0,,,83,365,0,
8381173,Charming Hell's Kitchen nest -- bedroom 2,19838610,Scott,Manhattan,Hell's Kitchen,40.76921,-73.98923,Private room,79,30,5,2017-05-13,0.06,1,0,0,
